Year,Africa,Americas,Asia,Europe,Oceania
1990,1687.154105489,1857.3751569,1143.897824006,1289.64264011,596.7740055429999
1991,1680.004806335,1853.276874338,1148.640186208,1292.298800329,823.386666473
1992,1672.103824018,1849.178591727,1148.795947433,1296.218556534,824.013751383
1993,1660.532684906,1845.080309116,1147.401828513,1299.036522912,824.640836043
1994,1652.972430525,1840.982026565,1155.487653649,1302.26128089,825.267920743
1995,1645.412176787,1836.883743973,1154.130401807,1305.488821359,825.895005413
1996,1637.851922366,1832.785461362,1152.792002771,1308.658527508,826.522090333
1997,1630.291667995,1828.687070918,1151.4346887479999,1311.889038296,827.149175033
1998,1622.731413597,1830.350916487,1150.095217198,1315.134750255,827.776259703
1999,1615.171159162,1826.215283415,1148.793335994,1318.331816102,828.403344393
2000,1616.406975961,1822.068943294,1150.357128064,1356.195479491,829.030429183
2001,1600.29686551,1818.413883938,1148.741311967,1359.6588486590001,829.280017843
2002,1592.982826283,1814.982846922,1148.490263577,1363.371874428,829.529606423
2003,1585.668786988,1811.329897915,1147.994045104,1366.590765356,829.779195003
2004,1576.267256892,1807.6768614789999,1150.747164981,1369.827965685,830.028783583
2005,1568.960812548,1804.018999623,1150.6414244310001,1373.125511743,830.2783721430001
2006,1561.655181182,1800.370526637,1150.34558107,1387.023365922,830.527960733
2007,1554.349883077,1796.71722824,1150.183010423,1392.370922506,830.777549313
2008,1547.044415733,1793.119576244,1149.874038072,1397.459782779,831.027137883
2009,1539.738748075,1789.468780258,1149.74542562,1402.2864593909999,831.276726463
2010,1540.477401293,1785.817984241,1149.615148074,1407.169892854,831.526315003
2011,1547.464877006,1783.4505698,1147.433878018,1410.077067847,831.789046243
2012,1540.370946174,1781.24913924,1145.311331915,1414.320465181,832.051777443
2013,1533.276778401,1779.66549281,1143.226470065,1415.792592374,832.314508683
2014,1526.183078352,1777.64786542,1141.202621695,1418.143338658,832.577240113
2015,1519.088445039,1775.3783989,1139.508365472,1421.0451701910001,832.839971303
2016,1511.47269177,1773.42619084,1135.552370927,1423.105720133,833.117866873
2017,1504.101543867,1770.3795207,1133.515209654,1425.060506548,833.288057613
2018,1496.4651838089999,1768.03897856,1132.054480212,1425.767086398,835.105883793
2019,1488.688424121,1764.9998641,1130.602452958,1426.701708392,835.302460893
2020,1480.963132693,1762.41510335,1129.14587819,1427.618820463,835.562461303
